성별,연령,유형,파일명
female,child,tsundere,female_child_tsundere.mp3
female,child,yandere,female_child_yandere.mp3
female,child,cool,female_child_cool.mp3
female,child,pure,female_child_pure.mp3
female,child,elegant,female_child_elegant.mp3
female,child,tomboy,female_child_tomboy.mp3
female,child,warrior,female_child_warrior.mp3
female,child,mage,female_child_mage.mp3
female,child,rogue,female_child_rogue.mp3
female,child,villain,female_child_villain.mp3
female,child,mad,female_child_mad.mp3
female,teen,tsundere,female_teen_tsundere.mp3
female,teen,yandere,female_teen_yandere.mp3
female,teen,cool,female_teen_cool.mp3
female,teen,pure,female_teen_pure.mp3
female,teen,elegant,female_teen_elegant.mp3
female,teen,tomboy,female_teen_tomboy.mp3
female,teen,warrior,female_teen_warrior.mp3
female,teen,mage,female_teen_mage.mp3
female,teen,rogue,female_teen_rogue.mp3
female,teen,villain,female_teen_villain.mp3
female,teen,mad,female_teen_mad.mp3
female,young,tsundere,female_young_tsundere.mp3
female,young,yandere,female_young_yandere.mp3
female,young,cool,female_young_cool.mp3
female,young,pure,female_young_pure.mp3
female,young,elegant,female_young_elegant.mp3
female,young,tomboy,female_young_tomboy.mp3
female,young,warrior,female_young_warrior.mp3
female,young,mage,female_young_mage.mp3
female,young,rogue,female_young_rogue.mp3
female,young,villain,female_young_villain.mp3
female,young,mad,female_young_mad.mp3
female,adult,tsundere,female_adult_tsundere.mp3
female,adult,yandere,female_adult_yandere.mp3
female,adult,cool,female_adult_cool.mp3
female,adult,pure,female_adult_pure.mp3
female,adult,elegant,female_adult_elegant.mp3
female,adult,tomboy,female_adult_tomboy.mp3
female,adult,warrior,female_adult_warrior.mp3
female,adult,mage,female_adult_mage.mp3
female,adult,rogue,female_adult_rogue.mp3
female,adult,villain,female_adult_villain.mp3
female,adult,mad,female_adult_mad.mp3
female,elder,tsundere,female_elder_tsundere.mp3
female,elder,yandere,female_elder_yandere.mp3
female,elder,cool,female_elder_cool.mp3
female,elder,pure,female_elder_pure.mp3
female,elder,elegant,female_elder_elegant.mp3
female,elder,tomboy,female_elder_tomboy.mp3
female,elder,warrior,female_elder_warrior.mp3
female,elder,mage,female_elder_mage.mp3
female,elder,rogue,female_elder_rogue.mp3
female,elder,villain,female_elder_villain.mp3
female,elder,mad,female_elder_mad.mp3
male,child,tsundere,male_child_tsundere.mp3
male,child,yandere,male_child_yandere.mp3
male,child,cool,male_child_cool.mp3
male,child,pure,male_child_pure.mp3
male,child,elegant,male_child_elegant.mp3
male,child,tomboy,male_child_tomboy.mp3
male,child,warrior,male_child_warrior.mp3
male,child,mage,male_child_mage.mp3
male,child,rogue,male_child_rogue.mp3
male,child,villain,male_child_villain.mp3
male,child,mad,male_child_mad.mp3
male,teen,tsundere,male_teen_tsundere.mp3
male,teen,yandere,male_teen_yandere.mp3
male,teen,cool,male_teen_cool.mp3
male,teen,pure,male_teen_pure.mp3
